City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,susaki,33.3667,133.2833,12.04,88,100,1.65,JP,1706671172
138,fort bragg,35.139,-79.006,8.91,77,100,2.57,US,1706671173
139,bredasdorp,-34.5322,20.0403,18.24,97,69,1.38,ZA,1706671173
140,tura,25.5198,90.2201,20.69,36,0,0.33,IN,1706671173
141,dakoro,14.5106,6.765,17.37,25,0,6.72,NE,1706671173
142,klyuchi,52.2667,79.1667,-13.58,91,100,2.73,RU,1706671173
143,benguela,-12.5763,13.4055,25.54,88,100,2.35,AO,1706671174
144,thyolo,-16.0678,35.1405,15.4,90,2,0.46,MW,1706671174
145,vila velha,-20.3297,-40.2925,26.97,94,0,3.6,BR,1706671174
146,inhambane,-23.865,35.3833,23.25,88,3,4.3,MZ,1706671041
147,murzuq,25.9155,13.9184,6.8,63,0,4.24,LY,1706671174
148,colonia,50.9333,6.95,7.76,85,75,3.6,DE,1706671174
149,krasnozerskoye,53.9828,79.2374,-20.12,94,65,3.2,RU,1706670954
150,ponnani,10.767,75.9252,25.62,71,58,1.84,IN,1706671175
151,shimoda,34.6667,138.95,14.2,77,47,6.55,JP,1706670955
152,margate,51.3813,1.3862,6.84,91,83,0.89,GB,1706671175
153,enewetak,11.3474,162.3373,26.55,71,83,9.13,MH,1706671175
154,whitefish,48.4111,-114.3376,3.06,95,0,0.0,US,1706671175
155,vadso,70.0744,29.7487,3.09,70,20,14.4,NO,1706671176
156,new norfolk,-42.7826,147.0587,20.72,28,80,2.69,AU,1706671176
157,chinchani,19.8667,72.7,23.24,75,52,2.7,IN,1706671176
158,mo i rana,66.3128,14.1428,2.4,93,100,2.24,NO,1706671176
159,port mathurin,-19.6833,63.4167,27.31,82,100,8.94,MU,1706671176
160,blackwater,-23.5833,148.8833,33.98,49,81,1.96,AU,1706671176
161,marat,25.0701,45.4615,12.91,49,3,3.2,SA,1706671177
162,katsuura,35.1333,140.3,14.11,55,6,5.66,JP,1706671177
163,daye,30.0833,114.95,11.51,94,99,1.26,CN,1706671021
164,sikasso,10.9167,-7.0,23.22,18,71,2.3,ML,1706671177
165,chegdomyn,51.1167,133.0167,-24.03,88,100,1.0,RU,1706671017
166,miajadas,39.1513,-5.9084,8.71,86,44,1.45,ES,1706671177
167,melekeok village,7.4957,134.6367,29.31,74,75,8.23,PW,1706671178
168,anchorage,61.2181,-149.9003,-15.97,81,100,2.57,US,1706671168
169,mossel bay,-34.1831,22.146,18.96,88,55,0.33,ZA,1706671178
170,susuman,62.7833,148.1667,-32.23,97,100,0.89,RU,1706671178
171,ulanhot,46.0833,122.0833,-19.72,60,0,4.14,CN,1706671178
172,gobabis,-22.45,18.9667,18.77,82,43,3.91,NA,1706671179
173,kulhudhuffushi,6.6221,73.07,27.68,74,84,3.45,MV,1706671179
174,wayne,42.2506,-83.2833,2.01,94,100,0.0,US,1706671179
175,kismayo,-0.3582,42.5454,26.16,85,94,5.37,SO,1706671179
176,alenquer,-1.9417,-54.7383,25.23,79,100,1.3,BR,1706671180
177,kosh-agach,50.0,88.6667,-23.16,93,100,0.45,RU,1706671180
178,qarah bagh,34.9402,61.7759,0.51,69,99,7.0,AF,1706671180
179,puerto baquerizo moreno,-0.9,-89.6,25.29,87,85,4.87,EC,1706671180
180,semenov,56.7875,44.493,-12.15,97,58,2.36,RU,1706671180
181,waingapu,-9.6567,120.2641,27.37,73,52,4.02,ID,1706671180
182,mukalla,14.5425,49.1242,21.87,81,83,1.49,YE,1706671181
183,uturoa,-16.7333,-151.4333,29.07,73,96,4.96,PF,1706671181
184,hadibu,12.65,54.0333,25.03,70,100,2.47,YE,1706671181
185,papao,-17.75,-149.55,29.81,81,80,3.16,PF,1706671181
186,abepura,-2.6333,140.5833,32.45,58,40,4.63,ID,1706671181
187,weno,7.4515,151.8468,29.97,66,100,5.14,FM,1706671182
188,ambovombe,-25.1667,46.0833,22.94,84,80,6.21,MG,1706671182
189,sinazongwe,-17.2614,27.4618,23.05,78,0,0.68,ZM,1706671182
190,tornio,65.8481,24.1466,-0.99,94,62,8.44,FI,1706671182
191,niquero,20.0431,-77.5828,21.14,65,11,6.9,CU,1706671182
192,kodinsk,58.6881,99.1844,-26.42,98,57,1.0,RU,1706671183
193,ujae,8.9322,165.7642,26.86,79,100,9.86,MH,1706671183
194,egilsstadir,65.2653,-14.3948,-3.05,74,0,2.57,IS,1706671183
195,tobol'sk,58.2,68.2667,-15.02,96,100,4.33,RU,1706671183
196,reggane,26.7158,0.1714,15.36,34,0,7.31,DZ,1706671183
197,tommot,58.9564,126.2925,-26.74,90,94,2.49,RU,1706671183
198,palangkaraya,-2.2,113.8333,27.34,86,99,1.15,ID,1706671184
199,tual,-5.6667,132.75,28.68,78,100,7.31,ID,1706671184
200,annau,37.8876,58.516,0.72,69,100,3.09,TM,1706671184
201,malanje,-9.5402,16.341,17.83,98,100,0.79,AO,1706671184
202,mil'kovo,55.6078,37.7956,-0.73,99,99,1.52,RU,1706671184
203,nemuro,43.3236,145.575,-1.52,69,100,3.75,JP,1706671184
204,castillos,-34.1667,-53.8333,17.85,87,0,2.88,UY,1706671185
205,manggar,-2.8833,108.2667,27.17,81,100,2.51,ID,1706670969
206,polyarnyy,69.1989,33.4478,0.75,75,100,15.46,RU,1706671185
207,faya-largeau,17.9257,19.1043,14.66,32,12,11.81,TD,1706671185
208,les avirons,-21.2418,55.3394,25.03,78,0,1.54,RE,1706671185
209,isangel,-19.55,169.2667,27.14,72,44,1.74,VU,1706671185
210,lokbatan,40.3237,49.728,0.99,79,8,2.89,AZ,1706671186
211,west wodonga,-36.1257,146.8486,33.75,78,0,3.13,AU,1706671186
212,petropavlovsk-kamchatsky,53.0452,158.6483,-11.67,70,75,5.0,RU,1706670988
213,along,28.1667,94.7667,13.33,81,99,0.3,IN,1706671186
214,hiratacho,35.4333,132.8167,8.01,93,75,2.57,JP,1706671186
215,n'dalatando,-9.2978,14.9116,19.96,99,100,0.51,AO,1706671186
216,weston,26.1004,-80.3998,18.01,68,0,4.63,US,1706671106
217,anna regina,7.2644,-58.5077,25.82,87,15,3.09,GY,1706671187
218,kill devil hills,36.0307,-75.676,7.21,84,0,3.09,US,1706671187
219,college station,30.628,-96.3344,16.7,59,0,1.54,US,1706671187
220,senador jose porfirio,-2.5908,-51.9542,24.42,83,100,1.18,BR,1706671187
221,brookings,44.3114,-96.7984,1.32,96,0,4.12,US,1706670480
222,korla,41.7597,86.1469,-4.61,68,83,1.46,CN,1706671187
223,selfoss,63.9331,-20.9971,-4.42,74,99,4.22,IS,1706671188
224,amga,60.8953,131.9608,-29.93,91,99,0.8,RU,1706671188
225,pinheiro machado,-31.5783,-53.3811,16.7,94,0,2.01,BR,1706671188
226,carnarvon,-24.8667,113.6333,29.65,56,0,3.86,AU,1706671188
227,georgetown,5.4112,100.3354,29.96,65,20,3.09,MY,1706670990
228,mokhsogollokh,61.4681,128.9203,-25.99,90,100,1.4,RU,1706671189
229,chuguyevka,44.1653,133.8633,-5.48,91,100,2.95,RU,1706671189
230,andapa,-14.65,49.65,20.5,98,84,1.31,MG,1706671189
231,shakhtinsk,49.71,72.5872,-8.65,95,99,4.67,KZ,1706671189
232,yarega,63.4354,53.5765,-9.51,97,85,1.77,RU,1706671189
233,hasaki,35.7333,140.8333,13.22,52,36,5.14,JP,1706671190
234,tres arroyos,-38.3739,-60.2798,23.47,46,100,2.85,AR,1706671190
235,wynyard,-41.0,145.7167,23.19,27,18,4.22,AU,1706671190
236,trondheim,63.4305,10.3951,4.05,62,100,1.9,NO,1706670903
237,yellowknife,62.456,-114.3525,-11.71,92,100,3.6,CA,1706671190
